name=start, (x,y,z)=(400,57,484), parent=null, mom=0, depth=0
name=pkhs, (x,y,z)=(402,368,392), parent=start, mom=92, depth=1
name=ojn, (x,y,z)=(809,156,285), parent=start, mom=199, depth=1
name=vhzt, (x,y,z)=(353,343,354), parent=start, mom=130, depth=1
name=kix, (x,y,z)=(581,201,412), parent=start, mom=72, depth=1
name=evuw, (x,y,z)=(231,663,183), parent=pkhs, mom=209, depth=2
name=pigr, (x,y,z)=(780,591,508), parent=pkhs, mom=0, depth=2
name=lmjbd, (x,y,z)=(578,663,256), parent=pkhs, mom=136, depth=2
name=lwnt, (x,y,z)=(396,21,253), parent=pkhs, mom=139, depth=2
name=nyhl, (x,y,z)=(400,797,142), parent=pkhs, mom=250, depth=2
name=gxc, (x,y,z)=(186,578,349), parent=pkhs, mom=43, depth=2
name=jrc, (x,y,z)=(23,604,167), parent=pkhs, mom=225, depth=2
name=pcfjt, (x,y,z)=(549,310,338), parent=pkhs, mom=54, depth=2
name=cz, (x,y,z)=(324,85,91), parent=pkhs, mom=301, depth=2
name=jsjqm, (x,y,z)=(570,48,441), parent=pkhs, mom=0, depth=2
name=yohwk, (x,y,z)=(726,463,479), parent=ojn, mom=0, depth=2
name=gahty, (x,y,z)=(593,517,35), parent=ojn, mom=250, depth=2
name=kkl, (x,y,z)=(563,281,96), parent=ojn, mom=189, depth=2
name=socag, (x,y,z)=(428,23,199), parent=vhzt, mom=155, depth=2
name=zelge, (x,y,z)=(266,677,296), parent=vhzt, mom=58, depth=2
name=tfpyp, (x,y,z)=(40,451,449), parent=vhzt, mom=0, depth=2
name=if, (x,y,z)=(329,77,245), parent=vhzt, mom=109, depth=2
name=qc, (x,y,z)=(18,87,248), parent=vhzt, mom=106, depth=2
name=nrsdi, (x,y,z)=(650,587,481), parent=vhzt, mom=0, depth=2
name=jnfd, (x,y,z)=(651,23,89), parent=vhzt, mom=265, depth=2
name=ipi, (x,y,z)=(364,157,483), parent=vhzt, mom=0, depth=2
name=jutha, (x,y,z)=(142,363,203), parent=vhzt, mom=151, depth=2
name=wy, (x,y,z)=(660,322,150), parent=vhzt, mom=204, depth=2
name=sgg, (x,y,z)=(467,501,347), parent=vhzt, mom=7, depth=2
name=ntv, (x,y,z)=(688,48,474), parent=vhzt, mom=0, depth=2
name=ntl, (x,y,z)=(75,78,4), parent=vhzt, mom=350, depth=2
name=fn, (x,y,z)=(644,353,60), parent=vhzt, mom=294, depth=2
name=jogo, (x,y,z)=(549,468,130), parent=kix, mom=282, depth=2
name=le, (x,y,z)=(540,396,31), parent=kix, mom=381, depth=2
name=dau, (x,y,z)=(309,411,457), parent=kix, mom=0, depth=2
name=th, (x,y,z)=(859,175,393), parent=kix, mom=19, depth=2
name=byfey, (x,y,z)=(303,516,40), parent=evuw, mom=143, depth=3
name=ajfvl, (x,y,z)=(128,315,174), parent=evuw, mom=9, depth=3
name=rcszr, (x,y,z)=(366,469,323), parent=evuw, mom=0, depth=3
name=sbq, (x,y,z)=(280,585,66), parent=evuw, mom=117, depth=3
name=ttn, (x,y,z)=(59,424,115), parent=evuw, mom=68, depth=3
name=yvr, (x,y,z)=(95,526,192), parent=evuw, mom=0, depth=3
